Call sign,Frequency,City of License [1][2],Licensee,Format [3]
KMTH,98.7 FM,Maljamar,Eastern New Mexico University,Public Radio
KMVR,104.9 FM,Mesilla Park,"Bravo Mic Communications, LLC",Hot AC
KMXQ,92.9 FM,Socorro,Cochise Media Licenses LLC,Country
KMYN,96.7 FM,Grants,"Royal Diversified Industries, Inc.",
KNCE,93.5 FM,Taos,"GRTG&J Real Estate, LLC",Freeform Variety
KNDN,960 AM,Farmington,Basin Broadcasting,
KNDN-FM,96.5 FM,Shiprock,"KRJG, Inc.",
KNFT,950 AM,Bayard,Skywest Licenses New Mexico LLC,
KNFT-FM,102.9 FM,Bayard,Skywest Licenses New Mexico LLC,Country
KNIZ,90.1 FM,Gallup,"Available Media, Inc.",
KNKT,107.1 FM,Armijo,"Calvary Chapel of Albuquerque, Inc.",Christian Radio
KNLK,91.9 FM,Santa Rosa,"Board of Education of the City of Albuquerque, NM",Spanish Variety
KNMA,88.1 FM,Tularosa,"Calvary Chapel of Twin Falls, Inc.",
KNMB,96.7 FM,Cloudcroft,MTD Inc.,Country
KNMI,88.9 FM,Farmington,"Navajo Ministries, Inc.",Contemporary Christian
KNML,610 AM,Albuquerque,"Radio License Holding CBC, LLC",Sports
KNMX,540 AM,Las Vegas,Sangre de Cristo Broadcasting,
KNMZ,103.7 FM,Alamogordo,WP Broadcasting,Sports
KNUW,95.1 FM,Santa Clara,Duran-Hill,
KOAZ,1510 AM,Isleta,Martha Whitman dba Isleta Radio Co.,Smooth Jazz
KOBE,1450 AM,Las Cruces,"Bravo Mic Communications, LLC",News/Talk
KOBH,91.7 FM,Hobbs,American Family Association,
KOOT,88.1 FM,Hurley,Community Access Television of Silver,Community
KOTS,1230 AM,Deming,Luna County Broadcasting,
KPCL,95.7 FM,Farmington,"Voice Ministries of Farmington, Inc.",
KPCV,91.7 FM,Portales,"Oasis of Faith, Inc.",
KPEK,100.3 FM,Albuquerque,"Citicasters Licenses, Inc.",Hot AC
KPER,100.9 FM,Eunice,Fivestar Media Corporation,Classic Rock
KPKJ,88.5 FM,Mentmore,"Calvary Chapel of Albuquerque, Inc.",
KPRT-FM,107.9 FM,Kirtland,"Winton Road Broadcasting, LLC",Adult Hits
KPSA-FM,97.7 FM,Lordsburg,Cochise Media Licenses LLC,Classic rock
KPZA-FM,103.7 FM,Jal,Noalmark Broadcasting,Regional Mexican
KPZE-FM,106.1 FM,Carlsbad,Pecos Valley Broadcasting,
KQAI,89.1 FM,Roswell,Educational Media Foundation,Christian Rock
KQAY-FM,92.7 FM,Tucumcari,"Majestic Broadcasting, LLC",Classic Hits
